,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
224,2019-10-15,1362.5,1370.0,1354.300049,1364.150024,1364.150024,4422075,1412.4849975000002,14.144655284124756,1440.7743080682496,1384.1956869317507,C
223,2019-10-14,1364.949951,1364.949951,1350.849976,1358.0,1358.0,6123412,1401.5799926000002,18.038660074940612,1437.6573127498814,1365.502672450119,C
222,2019-10-11,1363.699951,1365.599976,1336.550049,1352.599976,1352.599976,7587648,1393.4149902000001,21.114089104565164,1435.6431684091306,1351.1868119908697,B
221,2019-10-10,1325.0,1369.0,1321.0,1362.75,1362.75,16003744,1386.5699951000001,23.31594156320715,1433.2018782264145,1339.9381119735858,B
220,2019-10-09,1308.699951,1329.949951,1292.5,1324.75,1324.75,8040938,1375.4,25.450384731135735,1426.3007694622715,1324.4992305377286,B
219,2019-10-07,1308.099976,1320.800049,1301.699951,1310.099976,1310.099976,4599818,1367.1699952,27.02985820390166,1421.2297116078032,1313.1102787921966,C
218,2019-10-04,1319.900024,1328.599976,1303.849976,1308.099976,1308.099976,6853954,1356.5649903999997,28.195624434987522,1412.9562392699747,1300.1737415300247,B
217,2019-10-03,1286.0,1314.699951,1281.300049,1311.050049,1311.050049,6183107,1346.0349976999998,28.802256931672613,1403.639511563345,1288.4304838366547,B
216,2019-10-01,1337.0,1342.0,1293.300049,1304.900024,1304.900024,8192597,1336.8750000999999,28.726087316670696,1394.3271747333413,1279.4228254666584,B
215,2019-09-30,1310.0,1335.75,1305.550049,1332.25,1332.25,11549746,1332.8650025,27.659301753219502,1388.183606006439,1277.5463989935608,B
214,2019-09-27,1292.5,1315.0,1284.0,1309.050049,1309.050049,8712980,1327.355005,26.513715680347552,1380.382436360695,1274.3275736393048,B
213,2019-09-26,1292.0,1298.800049,1283.5,1296.800049,1296.800049,8389212,1321.2350098999998,25.468967625395514,1372.1729451507908,1270.2970746492088,B
212,2019-09-25,1284.0,1295.0,1268.849976,1279.550049,1279.550049,8316894,1313.9300171999998,24.298357484929614,1362.526732169859,1265.3333022301406,B
211,2019-09-24,1243.599976,1298.800049,1242.75,1278.699951,1278.699951,15982067,1305.5250122999998,22.886189406526476,1351.2973911130528,1259.752633486947,B
210,2019-09-23,1274.150024,1281.0,1235.0,1239.199951,1239.199951,9879751,1296.9700073999998,22.185895193186365,1341.3417977863726,1252.598217013627,C
209,2019-09-20,1187.949951,1269.900024,1174.300049,1254.349976,1254.349976,22019674,1291.3950074,21.168778051856624,1333.7325635037132,1249.0574512962867,B
208,2019-09-19,1207.849976,1209.699951,1172.650024,1179.050049,1179.050049,6293454,1278.4900146999998,21.752385669777695,1321.9947860395553,1234.9852433604444,C
207,2019-09-18,1204.949951,1216.300049,1197.199951,1205.699951,1205.699951,6827281,1267.9550049,23.355823572698295,1314.6666520453966,1221.2433577546033,C
